Genotyping_Sample_ID	Cluster	EV.1	EV.2	EV.3	EV.4	EV.5
MSSM_333	B	0.018491	-0.087539	0.00647	-0.027713	0.003668
MSSM_335	D	-0.086785	0.000859	0.025106	-0.001085	-0.007773
MSSM_336	A	0.021386	0.020595	-8e-05	-0.009517	0.00827
MSSM_337	A	0.020528	0.042707	-0.002773	-0.020686	-0.01234
MSSM_338	G	0.020306	0.010441	-0.002083	0.045478	0.010709
MSSM_339	C	-0.065251	-0.000709	-0.056918	-0.004349	0.015047
MSSM_34	E	0.020982	0.010277	0.007397	0.029224	-0.003864
MSSM_341	G	0.01996	4.5e-05	-0.002882	0.074361	0.023967
MSSM_342	A	0.021691	0.022335	0.006786	-0.016953	-0.003232
MSSM_343	E	0.021766	0.024839	0.005881	0.032956	0.005258
MSSM_344	A	0.021884	0.032506	0.001017	-0.005425	0.022628
MSSM_345	A	0.021245	0.03257	0.004067	-0.022971	-0.003498
MSSM_346	B	0.017282	-0.074991	0.006065	-0.092584	0.010841
MSSM_347	A	0.021471	0.019296	0.006638	-0.005252	0.011256
MSSM_348	E	0.021032	-8e-04	0.004428	0.012206	0.007143
MSSM_349	F	0.019112	-0.034567	0.003807	0.108998	-6.6e-05
MSSM_350	B	0.018734	-0.07443	0.003948	-0.022635	0.040468
MSSM_351	F	0.019109	-0.033396	-0.0045	0.119535	0.017319
MSSM_352	E	0.021397	0.03127	-0.004173	-0.004764	-0.015026
MSSM_353	G	0.020211	0.003128	-0.001064	0.045675	0.01442
MSSM_354	D	-0.086071	0.00098	0.029286	-0.00417	-0.007615
MSSM_355	C	-0.053138	-0.002486	-0.135778	-0.016635	-0.016451
MSSM_356	E	0.020816	0.019975	0.003664	-0.010316	-0.037469
MSSM_357	E	0.021263	0.018156	0.000732	0.012927	-0.006002
MSSM_358	A	0.020682	0.028293	0.002839	-0.031705	0.025612
MSSM_359	A	0.020887	0.038787	0.000432	-0.002484	0.005042
MSSM_36	C	0.008423	-0.008445	-0.054877	0.134298	0.129825
MSSM_360	B	0.021496	-0.019624	0.00439	-0.036829	0.050632
MSSM_361	D	-0.086448	0.000937	0.029157	-0.001329	-0.001387
MSSM_362	D	-0.087874	0.000822	0.025496	0.00123	-0.004153
MSSM_363	C	-0.056551	-0.001706	-0.063176	0.021489	0.080868
MSSM_364	A	0.021526	0.033432	0.001263	-0.019968	0.004524
MSSM_365	C	-0.016024	-0.002473	-0.303972	-0.062063	0.046984
MSSM_366	D	-0.083303	0.00077	0.028507	0.00874	0.017809
MSSM_367	A	0.020747	0.038123	-0.006115	-0.019482	0.002495
MSSM_368	A	0.021228	0.031357	0.006936	-0.026987	-0.007064
MSSM_37	C	-0.053594	-0.00132	-0.132818	-0.003471	0.059297
MSSM_370	D	-0.086456	8e-04	0.025355	-0.001504	-0.008098
MSSM_371	G	0.020005	-0.035159	0.00432	0.077117	-0.045008
MSSM_374	D	-0.084939	0.00086	0.020767	-0.002687	0.019416
MSSM_375	D	-0.085135	0.000869	0.025156	-0.001435	0.000118
MSSM_376	E	0.021622	0.028926	0.000105	-0.007589	-0.014423
MSSM_377	A	0.021338	0.03559	0.0049	-0.052588	0.010504
MSSM_378	C	-0.05912	-0.001144	-0.054441	-0.004165	0.011387
MSSM_379	D	-0.086575	0.000779	0.023433	0.000727	-0.011141
MSSM_38	F	0.01959	-0.026018	-0.001081	0.113755	0.035371
MSSM_380	B	0.019055	-0.076672	0.005869	-0.020604	0.010618
MSSM_381	A	0.021213	0.031001	-0.003515	-0.034754	-0.035287
MSSM_382	D	-0.062639	-6e-05	0.026503	0.008939	-0.018903
MSSM_383	B	0.017431	-0.086967	0.001125	-0.023168	0.03887
MSSM_384	C	-0.061941	0.00015	-0.059428	-0.007232	0.045173
MSSM_386	D	-0.084485	0.000709	0.023668	0.008683	0.014171
MSSM_387	C	-0.049024	-0.004761	-0.094524	0.01283	0.015649
MSSM_388	B	0.019426	-0.056211	0.007039	-0.042071	0.003804
MSSM_389	A	0.021956	0.035345	0.004988	-0.006416	0.006825
MSSM_39	G	0.021413	-0.009007	0.000886	0.038902	-0.03196
MSSM_390	B	0.017933	-0.088143	0.001413	-0.044377	-0.035546
MSSM_391	A	0.020978	0.045087	-0.001078	-0.047851	-0.047743
MSSM_392	B	0.019203	-0.074079	0.005348	-0.015263	0.00692
MSSM_393	D	-0.08688	0.000927	0.033193	-0.00082	-0.0113
MSSM_394	E	0.019942	-0.004975	0.005688	0.014875	0.013159
MSSM_396	B	0.01918	-0.077322	0.010397	-0.030506	0.012788
MSSM_397	A	0.021686	0.030086	-0.000602	-0.058724	0.018383
MSSM_398	A	0.021053	0.029441	0.004497	-0.0107	-0.01083
MSSM_399	B	0.01679	-0.082515	-0.000946	0.008188	0.022195
MSSM_4	D	-0.088391	0.000935	0.027666	-0.001128	0.003002
MSSM_40	A	0.021668	0.034808	0.007367	-0.036513	0.016086
MSSM_41	A	0.021414	0.034303	-0.001317	-0.01518	0.017689
MSSM_42	A	0.021931	0.028726	0.004998	-0.030036	0.025816
MSSM_43	F	0.018735	-0.032649	-0.00355	0.1286	-0.036726
MSSM_44	G	0.019144	-0.002915	-3e-06	0.075164	0.008433
MSSM_45	A	0.021541	0.028325	0.00624	-0.012933	-0.000324
MSSM_46	B	0.018651	-0.075172	0.005224	-0.033598	0.01104
MSSM_47	B	0.017679	-0.088236	0.000594	-0.016274	-0.04467
MSSM_48	B	0.017845	-0.084315	0.004488	-0.031717	0.018091
MSSM_5	C	-0.049905	-0.006922	-0.189421	-0.029805	-0.172775
MSSM_50	A	0.021524	0.029469	-0.001359	-0.020009	0.000405
MSSM_51	C	-0.064018	-0.000199	-0.051654	0.00451	0.036152
MSSM_52	E	0.020935	0.024582	0.000121	0.002213	-0.032967
MSSM_53	E	0.020938	0.028687	-0.001634	0.007014	-0.015491
MSSM_55	D	-0.08638	0.000749	0.015096	-0.000195	-0.002159
MSSM_56	F	0.018336	-0.039796	0.003928	0.134965	-0.025866
MSSM_57	F	0.020036	-0.030647	0.007452	0.10967	0.000492
MSSM_58	D	-0.085173	0.001402	0.031675	-0.002692	-0.010894
MSSM_59	F	0.019503	-0.042527	-0.000522	0.086095	0.012525
MSSM_6	C	-0.062885	-2.4e-05	-0.059903	0.002777	0.046692
MSSM_60	F	0.019594	-0.035056	0.007088	0.111858	0.007965
MSSM_61	F	0.019603	-0.036885	0.004832	0.099206	0.006314
MSSM_62	A	0.021327	0.031523	-0.003866	-0.028437	0.031819
MSSM_63	B	0.018466	-0.077554	-0.00137	-0.023137	-0.010961
MSSM_64	G	0.020982	-0.009527	-0.00097	0.064721	-0.006732
MSSM_65	E	0.020771	0.023053	0.003854	0.01292	-0.023595
MSSM_66	A	0.021569	0.017608	0.007334	-0.033018	0.000654
MSSM_67	F	0.018386	-0.032361	-0.001312	0.118031	-0.011134
MSSM_68	C	0.017409	-0.019543	-0.024842	0.047831	-0.140282
MSSM_69	B	0.018131	-0.082794	0.006138	-0.018688	0.003959
MSSM_7	A	0.021912	0.029255	0.005206	-0.019109	-0.00735
MSSM_79	B	0.018557	-0.077881	0.001434	-0.04462	-0.042238
MSSM_8	A	0.021453	0.029033	0.000957	-0.019018	-0.003799
MSSM_80	B	0.018293	-0.085581	0.005909	-0.030202	0.015325
MSSM_81	F	0.018629	-0.034848	0.001018	0.127417	0.002395
MSSM_82	D	-0.082155	0.000803	0.027306	0.001313	-0.009308
MSSM_83	C	-0.043046	-0.001746	-0.143397	0.003241	0.049982
MSSM_84	B	0.017981	-0.088966	0.008458	-0.052059	0.016658
MSSM_86	D	-0.082662	0.000825	0.024233	0.000514	-0.008482
MSSM_87	A	0.021525	0.030805	0.000535	-0.033696	0.005023
MSSM_89	B	0.018473	-0.081481	0.007212	-0.051854	-0.018428
MSSM_9	B	0.019306	-0.079013	0.00724	-0.027298	-0.03405
MSSM_91	F	0.018453	-0.047391	0.007081	0.119696	-0.026279
MSSM_92	B	0.017937	-0.081377	0.004386	-0.021012	0.010815
MSSM_95	B	0.017995	-0.076713	0.006277	-0.05451	0.029536
MSSM_96	F	0.019422	-0.028524	0.003565	0.10992	-0.002043
