Gene Symbol,Affymetrix ID,Module Assigned
1200003M09Rik,1423887_a_at,NA
1200003O06Rik,1437055_x_at,NA
1200004M23Rik,1432848_a_at,NA
1200006F02Rik,1451486_at,pink
1200006O19Rik,1417768_at,NA
1200007B05Rik,1448970_at,turquoise
1200007B05Rik,1418134_at,NA
1200007D18Rik,1423334_at,purple
1200007D18Rik,1438793_x_at,NA
1200007D18Rik,1437908_a_at,grey
1200007D18Rik,1438792_at,NA
1200007D18Rik,1423333_at,NA
1200008O12Rik,1452242_at,NA
1200008O12Rik,1453683_a_at,NA
1200009B18Rik,1453796_a_at,NA
1200009B18Rik,1451360_at,NA
1200009B18Rik,1424462_at,NA
1200009F10Rik,1429219_at,NA
1200009K13Rik,1418565_at,NA
1200009K13Rik,1418563_at,grey
1200009K13Rik,1440195_at,black
1200009K13Rik,1437280_s_at,NA
1200009K13Rik,1418564_s_at,brown
1200009O22Rik,1452961_at,NA
1200009O22Rik,1427643_at,NA
1200009O22Rik,1428922_at,NA
1200011I18Rik,1454998_at,NA
1200011I18Rik,1449857_at,NA
1200011M11Rik,1427737_a_at,NA
1200011O22Rik,1428144_at,NA
1200011O22Rik,1437194_x_at,brown
1200013B08Rik,1427007_at,NA
1200013P24Rik,1415721_a_at,grey
1200014J11Rik,1423118_at,NA
1200014M14Rik,1419265_at,NA
1200014M14Rik,1419264_at,NA
1200015A19Rik,1451172_at,NA
1200015F23Rik,1428196_a_at,brown
1200015F23Rik,1452704_at,NA
1200015N20Rik,1448557_at,NA
1200015N20Rik,1436761_s_at,NA
1200016B17Rik,1448106_at,NA
1200016E24Rik,1452418_at,NA
1200016G03Rik,1419619_at,NA
1200020A08Rik,1423487_at,NA
1200020A08Rik,1423486_at,NA
1300001I01Rik,1428106_at,grey
1300002A08Rik,1436655_at,NA
1300002A08Rik,1460178_at,turquoise
1300002C08Rik,1451536_at,grey
1300002C08Rik,1424946_a_at,NA
1300002F13Rik,1419816_s_at,NA
1300002F13Rik,1416129_at,turquoise
1300006C06Rik,1460676_at,NA
1300006C19Rik,1426343_at,NA
1300006C19Rik,1431541_at,NA
1300006C19Rik,1426342_at,NA
1300006N24Rik,1430293_a_at,orange
1300006N24Rik,1427111_s_at,NA
1300006N24Rik,1427110_at,NA
1300007B12Rik,1417200_at,NA
1300007B12Rik,1417199_at,NA
1300007B12Rik,1431304_a_at,NA
1300007C21Rik /// LOC433762 /// LOC546083,1431213_a_at,NA
1300007C21Rik /// LOC433762 /// LOC546083,1431214_at,NA
1300007F04Rik,1453474_at,NA
1300007L22Rik,1456371_a_at,NA
1300010A20Rik,1425157_x_at,red
1300010A20Rik,1451609_at,NA
1300010A20Rik,1455618_x_at,red
1300010A20Rik,1451608_a_at,grey
1300010F03Rik,1431800_at,NA
1300010F03Rik,1424904_at,NA
1300010M03Rik,1431926_a_at,NA
1300010M03Rik,1424159_at,NA
1300012G16Rik,1423425_at,NA
1300012G16Rik,1423426_at,NA
1300013J15Rik,1418395_at,NA
1300017J02Rik,1424722_at,NA
