"","gene","Neuron","Astrocyte","Oligodendrocyte","Microglia","Endothelial"
"ENSG00000150551","LYPD1",3.8,7.725,3.26,0.1,1.25
"ENSG00000197353","LYPD2",0.1,0.1,0.1,0.1,0.1
"ENSG00000124466","LYPD3",0.3,0.1,0.18,0.1,0.1
"ENSG00000273111","LYPD4",0.1,0.1,0.1,0.1,0.1
"ENSG00000159871","LYPD5",1.8,0.5,0.3,0.1,0.15
"ENSG00000187123","LYPD6",9.7,3.61666666666667,0.48,0.1,0.2
"ENSG00000150556","LYPD6B",4.1,0.283333333333333,0.12,0.1,0.1
"ENSG00000120992","LYPLA1",3.9,2.76666666666667,1.92,5.23333333333333,1.7
"ENSG00000011009","LYPLA2",0.1,0.325,0.1,0.233333333333333,0.15
"ENSG00000143353","LYPLAL1",3.1,5.7,3.8,1.23333333333333,1.15
"ENSG00000102897","LYRM1",7.4,3.50833333333333,2.32,0.5,1.25
"ENSG00000083099","LYRM2",3,3.26666666666667,2.4,1.2,0.65
"ENSG00000214113","LYRM4",2.7,2.60833333333333,2.78,3.1,2.5
"ENSG00000205707","LYRM5",11.5,8.59166666666667,9.54,2.76666666666667,6.2
"ENSG00000186687","LYRM7",4.8,2.25,2.36,0.433333333333333,0.7
"ENSG00000163155","LYSMD1",1,2.19166666666667,2.08,0.166666666666667,0.35
"ENSG00000140280","LYSMD2",10.4,3.775,1.5,3.26666666666667,1.55
"ENSG00000176018","LYSMD3",2.8,1.88333333333333,2.18,4.26666666666667,1.4
"ENSG00000183060","LYSMD4",1.5,0.425,0.4,0.3,0.6
"ENSG00000143669","LYST",6.5,3.34166666666667,2.92,10.4333333333333,1.5
"ENSG00000133800","LYVE1",0.8,2.05,7.12,165.166666666667,1.4
"ENSG00000090382","LYZ",0.2,0.175,1.5,23.3666666666667,0.65
"ENSG00000120563","LYZL1",0.1,0.1,0.1,0.1,0.1
"ENSG00000151033","LYZL2",0.1,0.1,0.1,0.1,0.1
"ENSG00000157093","LYZL4",0.4,0.1,0.1,0.1,0.1
"ENSG00000275722","LYZL6",0.1,0.1,0.1,0.1,0.1
"ENSG00000162441","LZIC",3.9,5.28333333333333,6.7,3.13333333333333,2.95
"ENSG00000163818","LZTFL1",7.2,3.74166666666667,1.68,1.2,1.35
"ENSG00000099949","LZTR1",0.2,0.741666666666667,0.16,0.233333333333333,0.4
"ENSG00000061337","LZTS1",0.1,0.1,0.1,0.133333333333333,1.25
"ENSG00000107816","LZTS2",0.3,0.483333333333333,0.7,0.333333333333333,0.6
"ENSG00000003056","M6PR",9.9,7.05,6.92,16.3333333333333,3
"ENSG00000180660","MAB21L1",0.3,0.2,0.36,0.133333333333333,0.1
"ENSG00000181541","MAB21L2",0.1,0.1,0.1,0.166666666666667,0.1
"ENSG00000173212","MAB21L3",0.1,0.1,0.1,0.1,0.1
"ENSG00000183742","MACC1",0.1,0.1,0.1,0.1,0.1
"ENSG00000127603","MACF1",16.1,53.175,11.96,10.7333333333333,6.5
